d,school,cantrip,level,classes,time,range,components,duration,p1,p2,p3,p4,ul1,ul2,ul3,ul4,ul5,p5,p6,p7,p8,p9,ahl
Antimagic Field,abjuration,not cantrip,8th,cleric wizard,1 action,Self,Verbal&#44; Somatic&#44; Material (A pinch of powdered iron or iron filings),Concentration up to 1 hour,A 10-foot-radius invisible sphere of antimagic surrounds you. This area is divorced from the magical energy that suffuses the multiverse. Within the sphere&#44; spells can't be cast&#44; summoned creatures disappear&#44; and even magic items become mundane. Until the spell ends&#44; the sphere moves with you&#44; centered on you.,Spells and other magical effects&#44; except those created by an artifact or a deity&#44; are suppressed in the sphere and can't protrude into it. A slot expended to cast a suppressed spell is consumed. While an effect is suppressed&#44; it doesn't function&#44; but the time it spends suppressed counts against its duration.,"<span class=""dark"">Targeted Effects</span> &mdash; Spells and other magical effects&#44; such as magic missile and charm person&#44; that target a creature or an object in the sphere have no effect on that target.","<span class=""dark"">Areas of Magic</span> &mdash; The area of another spell or magical effect&#44; such as fireball&#44; can't extend into the sphere. If the sphere overlaps an area of magic&#44; the part of the area that is covered by the sphere is suppressed. For example&#44; the flames created by a wall of fire are suppressed within the sphere&#44; creating a gap in the wall if the overlap is large enough.",,,,,,"<span class=""dark"">Spells</span> &mdash; Any active spell or other magical effect on a creature or an object in the sphere is suppressed while the creature or object is in it.","<span class=""dark"">Magic Items</span> &mdash; The properties and powers of magic items are suppressed in the sphere. For example&#44; a +1 long sword in the sphere functions as a nonmagical long sword. A magic weapon's properties and powers are suppressed if it is used against a target in the sphere or wielded by an attacker in the sphere. If a magic weapon or piece of magic ammunition fully leaves the sphere (For example&#44; if you fire a magic arrow or throw a magic spear at a target outside the sphere)&#44; the magic of the item ceases to be suppressed as soon as it exits.","<span class=""dark"">Magical Travel</span> &mdash; Teleportation and planar travel fail to work in the sphere&#44; whether the sphere is the destination or the departure point for such magical travel. A portal to another location&#44; world&#44; or plane of existence&#44; as well as an opening to an extradimensional space such as that created by the rope trick spells&#44; temporarily closes while in the sphere.","<span class=""dark"">Creatures and Objects</span> &mdash; A creature or object summoned or created by magic temporarily winks out of existence in the sphere. Such a creature instantly reappears once the space the creature occupied is no longer within the sphere.","<span class=""dark"">Dispel Magic</span> &mdash; Spells and magical effects such as dispel magic have no effect on the sphere. Likewise&#44; the spheres created by different antimagic field spells don't nullify each other.",
Antipathy/Sympathy,enchantment,not cantrip,8th,druid wizard,1 hour,60 feet,Verbal&#44; Somatic&#44; Material (Either a lump of alum soaked in vinegar for the antipathy effect or a drop of honey for the sympathy effect),10 days,This spell attracts or repels creatures of your choice. You target something within range&#44; either a Huge or smaller object or creature or an area that is no larger than a 200-foot cube. Then specify a kind of intelligent creature&#44; such as red dragons&#44; goblins&#44; or vampires. You invest the target with an aura that either attracts or repels the specified creatures for the duration. Choose antipathy or sympathy as the aura's effect.,"<span class=""dark"">Antipathy</span> &mdash; The enchantment causes creatures of the kind you designated to feel an intense urge to leave the area and avoid the target. When such a creature can see the target or comes within 60 feet of it&#44; the creature must succeed on a Wisdom saving throw or become frightened. The creature remains frightened while it can see the target or is within 60 feet of it. While frightened by the target&#44; the creature must use its movement to move to the nearest safe spot from which it can't see the target. If the creature moves more than 60 feet from the target and can't see it&#44; the creature is no longer frightened&#44; but the creature becomes frightened again if it regains sight of the target or moves within 60 feet of it.","<span class=""dark"">Sympathy</span> &mdash; The enchantment causes the specified creatures to feel an intense urge to approach the target while within 60 feet of it or able to see it. When such a creature can see the target or comes within 60 feet of it&#44; the creature must succeed on a Wisdom saving throw or use its movement on each of its turns to enter the area or move within reach of the target. When the creature has done so&#44; it can't willingly move away from the target. If the target damages or otherwise harms an affected creature&#44; the affected creature can make a Wisdom saving throw to end the effect&#44; as described below.","<span class=""dark"">Ending the Effect</span> &mdash; If an affected creature ends its turn while not within 60 feet of the target or able to see it&#44; the creature makes a Wisdom saving throw. On a successful save&#44; the creature is no longer affected by the target and recognizes the feeling of repugnance or attraction as magical. In addition&#44; a creature affected by the spells is allowed another Wisdom saving throw every 24 hours while the spell persists.",,,,,,A creature that successfully saves against this effect is immune to it for 1 minute&#44; afeeter which time it can be affected again.,,,,,
Arcane Eye,divination,not cantrip,4th,wizard,1 action,30 feet,Verbal&#44; Somatic&#44; Material (A bit of bat fur),Concentration up to 1 hour,You create an invisible&#44; magical eye within range that hovers in the air for the duration.,You mentally receive visual information from the eye&#44; which has normal vision and darkvision out to 30 feet. The eye can look in every direction.,As an action&#44; you can move the eye up to 30 feet in any direction. There is no limit to how far away from you the eye can move&#44; but it can't enter another plane of existence. A solid barrier blocks the eye's movement&#44; but the eye can pass through an opening as small as 1 inch in diameter.,,,,,,,,,,,,
Arcane Gate,conjuration,not cantrip,6th,sorceror warlock wizard,1 action,500 feet,Verbal&#44; Somatic,Concentration up to 10 minutes,You create linked teleportation portals that remain open for the duration. Choose two points on the ground that you can see&#44; one point within 10 feet of you and one point within 500 feet of you. A circular portal&#44; 10 feet in diameter&#44; opens over each point. If the portal would open in the space occupied by a creature&#44; the spell fails&#44; and the casting is lost.,The portals are two-dimensional glowing rings filled with mist&#44; hovering inches from the ground and perpendicular to it at the points you choose. A ring is visible only from one side (your choice)&#44; which is the side that functions as a portal.,Any creature or object entering the portal exits from the other portal as if the two were adjacent to each other; passing through a portal from the nonportal side has no effect. The mist that fills each portal is opaque and blocks vision through it. On your turn&#44; you can rotate the rings as a bonus action so that the active side faces in a different direction.,,,,,,,,,,,,
Arcane Lock,abjuration,not cantrip,2nd,wizard,1 action,Touch,Verbal&#44; Somatic&#44; Material (gold dust worth at least 25 gp&#44; which the spell consumes),Until Dispelled,You touch a closed door&#44; window&#44; gate&#44; chest&#44; or other entryway&#44; and it becomes locked for the duration. You and the creatures you designate when you cast this spell can open the object normally. You can also set a password that&#44; when spoken within 5 feet of the object&#44; suppresses this spell for 1 minute. Otherwise&#44; it is impassable until it is broken or the spell is dispelled or suppressed. Casting knock on the object suppresses arcane lock for 10 minutes.,While affected by this spell&#44; the object is more difficult to break or force open; the DC to break it or pick any locks on it increases by 10.,,,,,,,,,,,,,
Armor of Agathys,abjuration,not cantrip,1st,warlock,1 action,Self,Verbal&#44; Somatic&#44; Material (a cup of water),1 hour,A protective magical force surrounds you&#44; manifesting as a spectral frost that covers you and your gear. You gain 5 temporary hit points for the duration. If a creature hits you with a melee attack while you have these hit points&#44; the creature takes 5 cold damage.,,,,,,,,,,,,,,When you cast this spell using a spell slot of 2nd level or higher&#44; both the temporary hit points and the cold damage increase by 5 for each slot level above 1st.
Arms of Hadar,conjuration,not cantrip,1st,warlock,1 action,Self (10-foot radius),Verbal&#44; Somatic,Instantaneous,You invoke the power of Hadar&#44; the Dark Hunger. Tendrils of dark energy erupt from you and batter all creatures within 10 feet of you. Each creature in that area must make a Strength saving throw. On a failed save&#44; a target takes 2d6 necrotic damage and can’t take reactions until its next turn. On a successful save&#44; the creature takes half damage&#44; but suffers no other effect.,,,,,,,,,,,,,,When you cast this spell using a spell slot of 2nd level or higher&#44; the damage increases by 1d6 for each slot level above 1st.
Astral Projection,necromancy,not cantrip,9th,cleric monk warlock wizard,1 hour,10 feet,Verbal&#44; Somatic&#44; Material (for each creature you affect with this spell&#44; you must provide one jacinth worth at least 1000 GP and one ornately carved bar of silver worth at least 100 GP&#44; all of which the spell consumes),Special,You and up to eight willing creatures within range project your astral bodies into the Astral Plane (the spell fails and the casting is wasted if you are already on that plane). The material body you leave behind is unconscious and in a state of suspended animation; it doesn’t need food or air and doesn’t age.,Your astral body resembles your mortal form in almost every way&#44; replicating your game statistics and possessions. The principal difference is the addition of a silvery cord that extends from between your shoulder blades and trails behind you&#44; fading to invisibility after 1 foot. This cord is your tether to your material body. As long as the tether remains intact&#44; you can find your way home. If the cord is cut—something that can happen only when an effect specifically states that it does—your soul and body are separated&#44; killing you instantly.,Your astral form can freely travel through the Astral Plane and can pass through portals there leading to any other plane. If you enter a new plane or return to the plane you were on when casting this spell&#44; your body and possessions are transported along the silver cord&#44; allowing you to re-enter your body as you enter the new plane. Your astral form is a separate incarnation. Any damage or other effects that apply to it have no effect on your physical body&#44; nor do they persist when you return to it.,The spell ends for you and your companions when you use your action to dismiss it. When the spell ends&#44; the affected creature returns to its physical body&#44; and it awakens.,,,,,,The spell might also end early for you or one of your companions. A successful dispel magic spell used against an astral or physical body ends the spell for that creature. If a creature’s original body or its astral form drops to 0 hit points&#44; the spell ends for that creature. If the spell ends and the silver cord is intact&#44; the cord pulls the creature’s astral form back to its body&#44; ending its state of suspended animation.,If you are returned to your body prematurely&#44; your companions remain in their astral forms and must find their own way back to their bodies&#44; usually by dropping to 0 hit points.,,,,
Augury,divination,not cantrip,2nd,cleric,1 minute or ritual,Self,Verbal&#44; Somatic&#44; Material (specially marked sticks&#44; bones&#44; or similar tokens worth at least 25 gp),Instantaneous,By casting gem-inlaid sticks&#44; rolling dragon bones&#44; laying out ornate cards&#44; or employing some other divining tool&#44; you receive an omen from an otherworldly entity about the results of a specific course of action that you plan to take within the next 30 minutes. The DM chooses from the following possible omens:,,,,Weal&#44; for good results,Woe&#44; for bad results,Weal and woe&#44; for both good and bad results,Nothing&#44; for results that aren’t especially good or bad,,The spell doesn’t take into account any possible circumstances that might change the outcome&#44; such as the casting of additional spells or the loss or gain of a companion.,If you cast the spell two or more times before completing your next long rest&#44; there is a cumulative 25 percent chance for each casting after the first that you get a random reading. The DM makes this roll in secret.,,,,
Aura of Life,abjuration,not cantrip,4th,paladin,1 action,Self (30-foot radius),Verbal,Concentration up to 10 minutes,Life-preserving energy radiates from you in an aura with a 30-foot radius. Until the spell ends&#44; the aura moves with you&#44; centered on you. Each nonhostile creature in the aura (including you) has resistance to necrotic damage&#44; and its hit point maximum can’t be reduced. In addition&#44; a nonhostile&#44; living creature regains 1 hit point when it starts its turn in the aura with 0 hit points.,,,,,,,,,,,,,,
Aura of Purity,abjuration,not cantrip,4th,paladin,1 action,Self (30-foot radius),Verbal,Concentration up to 10 minutes,Purifying energy radiates from you in an aura with a 30-foot radius. Until the spell ends&#44; the aura moves with you&#44; centered on you. Each nonhostile creature in the aura (including you) can’t become diseased&#44; has resistance to poison damage&#44; and has advantage on saving throws against effects that cause any of the following conditions: blinded&#44; charmed&#44; deafened&#44; frightened&#44; paralyzed&#44; poisoned&#44; and stunned.,,,,,,,,,,,,,,
Aura of Vitality,evocation,not cantrip,3rd,paladin,1 action,Self (30-foot radius),Verbal,Concentration up to 1 minute,Healing energy radiates from you in an aura with a 30-foot radius. Until the spell ends&#44; the aura moves with you&#44; centered on you. You can use a bonus action to cause one creature in the aura (including you) to regain 2d6 hit points.,,,,,,,,,,,,,,
Awaken,transmutation,not cantrip,5th,bard druid,8 hours,Touch,Verbal&#44; Somatic&#44; Material (an agate worth at least 1&#44;000 gp&#44; which the spell consumes),Instantaneous,After spending the casting time tracing magical pathways within a precious gemstone&#44; you touch a Huge or smaller beast or plant. The target must have either no Intelligence score or an Intelligence of 3 or less. The target gains an Intelligence of 10. The target also gains the ability to speak one language you know. If the target is a plant&#44; it gains the ability to move its limbs&#44; roots&#44; vines&#44; creepers&#44; and so forth&#44; and it gains senses similar to a human’s. Your DM chooses statistics appropriate for the awakened plant&#44; such as the statistics for the awakened shrub or the awakened tree.,The awakened beast or plant is charmed by you for 30 days or until you or your companions do anything harmful to it. When the charmed condition ends&#44; the awakened creature chooses whether to remain friendly to you&#44; based on how you treated it while it was charmed.,,,,,,,,,,,,,
Bane,enchantment,not cantrip,1st,bard cleric,1 action,30 feet,Verbal&#44; Somatic&#44; Material (a drop of blood),Concentration up to 1 minute,Up to three creatures of your choice that you can see within range must make Charisma saving throws. Whenever a target that fails this saving throw makes an attack roll or a saving throw before the spell ends&#44; the target must roll a d4 and subtract the number rolled from the attack roll or saving throw.,,,,,,,,,,,,,,When you cast this spell using a spell slot of 2nd level or higher&#44; you can target one additional creature for each slot level above 1st.
Banishing Smite,abjuration,not cantrip,5th,paladin,1 bonus action,Self,Verbal,Concentration up to 1 minute,,The next time you hit a creature with a weapon attack before this spell ends&#44; your weapon crackles with force&#44; and the attack deals an extra 5d10 force damage to the target. Additionally&#44; if this attack reduces the target to 50 hit points or fewer&#44; you banish it. If the target is native to a different plane of existence than the one you’re on&#44; the target disappears&#44; returning to its home plane. If the target is native to the plane you’re on&#44; the creature vanishes into a harmless demiplane. While there&#44; the target is incapacitated. It remains there until the spell ends&#44; at which point the target reappears in the space it left or in the nearest unoccupied space if that space is occupied.,,,,,,,,,,,,,
Banishment,abjuration,not cantrip,4th,cleric paladin sorceror warlock wizard,1 action,60 feet,Verbal&#44; Somatic&#44; Material (an item distasteful to the target),Concentration up to 1 minute,You attempt to send one creature that you can see within range to another plane of existence. The target must succeed on a Charisma saving throw or be banished.,If the target is native to the plane of existence you’re on&#44; you banish the target to a harmless demiplane. While there&#44; the target is incapacitated. The target remains there until the spell ends&#44; at which point the target reappears in the space it left or in the nearest unoccupied space if that space is occupied.,If the target is native to a different plane of existence than the one you’re on&#44; the target is banished with a faint popping noise&#44; returning to its home plane. If the spell ends before 1 minute has passed&#44; the target reappears in the space it left or in the nearest unoccupied space if that space is occupied. Otherwise&#44; the target doesn’t return.,,,,,,,,,,,,When you cast this spell using a spell slot of 5th level or higher&#44; you can target one additional creature for each slot level above 4th.
Barkskin,transmutation,not cantrip,2nd,druid ranger,1 action,Touch,Verbal&#44; Somatic&#44; Material (a handful of oak bark),Concentration up to 1 hour,You touch a willing creature. Until the spell ends&#44; the target’s skin has a rough&#44; bark-like appearance&#44; and the target’s AC can’t be less than 16&#44; regardless of what kind of armor it is wearing.,,,,,,,,,,,,,,
Beacon of Hope,abjuration,not cantrip,3rd,cleric,1 action,30 feet,Verbal&#44; Somatic,Concentration up to 1 minute,This spell bestows hope and vitality. Choose any number of creatures within range. For the duration&#44; each target has advantage on Wisdom saving throws and death saving throws&#44; and regains the maximum number of hit points possible from any healing.,,,,,,,,,,,,,,
Beast Sense,divination,not cantrip,2nd,druid ranger,1 action or ritual,Touch,Somatic,Concentration up to 1 hour,You touch a willing beast. For the duration of the spell&#44; you can use your action to see through the beast’s eyes and hear what it hears&#44; and continue to do so until you use your action to return to your normal senses. While perceiving through the beast’s senses&#44; you gain the benefits of any special senses possessed by that creature&#44; though you are blinded and deafened to your own surroundings.,,,,,,,,,,,,,,
Bestow Curse,necromancy,not cantrip,3rd,bard cleric wizard,1 action,Touch,Verbal&#44; Somatic,Concentration up to 1 minute,You touch a creature&#44; and that creature must succeed on a Wisdom saving throw or become cursed for the duration of the spell. When you cast this spell&#44; choose the nature of the curse from the following options:,,,,Choose one ability score. While cursed&#44; the target has disadvantage on ability checks and saving throws made with that ability score.,While cursed&#44; the target has disadvantage on attack rolls against you.,While cursed&#44; the target must make a Wisdom saving throw at the start of each of its turns. If it fails&#44; it wastes its action that turn doing nothing.,While the target is cursed&#44; your attacks and spells deal an extra 1d8 necrotic damage to the target.,,A remove curse spell ends this effect. At the DM’s option&#44; you may choose an alternative curse effect&#44; but it should be no more powerful than those described above. The DM has final say on such a curse’s effect.,,,,,If you cast this spell using a spell slot of 4th level or higher&#44; the duration is concentration&#44; up to 10 minutes. If you use a spell slot of 5th level or higher&#44; the duration is 8 hours. If you use a spell slot of 7th level or higher&#44; the duration is 24 hours. If you use a 9th level spell slot&#44; the spell lasts until it is dispelled. Using a spell slot of 5th level or higher grants a duration that doesn’t require concentration.
Bigby's Hand,evocation,not cantrip,5th,wizard,1 action,120 feet,Verbal&#44; Somatic&#44; Material (an eggshell and a snakeskin glove),Concentration up to 1 minute,You create a Large hand of shimmering&#44; translucent force in an unoccupied space that you can see within range. The hand lasts for the spell’s duration&#44; and it moves at your command&#44; mimicking the movements of your own hand.,The hand is an object that has AC 20 and hit points equal to your hit point maximum. If it drops to 0 hit points&#44; the spell ends. It has a Strength of 26 (+8) and a Dexterity of 10 (+0). The hand doesn’t fill its space.,When you cast the spell and as a bonus action on your subsequent turns&#44; you can move the hand up to 60 feet and then cause one of the following effects with it.,,"<span class=""dark"">Clenched Fist</span> &mdash; The hand strikes one creature or object within 5 feet of it. Make a melee spell attack for the hand using your game statistics. On a hit&#44; the target takes 4d8 force damage.","<span class=""dark"">Forcful Hand</span> &mdash; The hand attempts to push a creature within 5 feet of it in a direction you choose. Make a check with the hand’s Strength contested by the Strength (Athletics) check of the target. If the target is Medium or smaller&#44; you have advantage on the check. If you succeed&#44; the hand pushes the target up to 5 feet plus a number of feet equal to five times your spellcasting ability modifier. The hand moves with the target to remain within 5 feet of it.","<span class=""dark"">Grasping Hand</span> &mdash; The hand attempts to grapple a Huge or smaller creature within 5 feet of it. You use the hand’s Strength score to resolve the grapple. If the target is Medium or smaller&#44; you have advantage on the check. While the hand is grappling the target&#44; you can use a bonus action to have the hand crush it. When you do so&#44; the target takes bludgeoning damage equal to 2d6 + your spellcasting ability modifier.","<span class=""dark"">Interposing Hand</span> &mdash; The hand interposes itself between you and a creature you choose until you give the hand a different command. The hand moves to stay between you and the target&#44; providing you with half cover against the target. The target can’t move through the hand’s space if its Strength score is less than or equal to the hand’s Strength score. If its Strength score is higher than the hand’s Strength score&#44; the target can move toward you through the hand’s space&#44; but that space is difficult terrain for the target.",,,,,,,When you cast this spell using a spell slot of 6th level or higher&#44; the damage from the clenched fist option increases by 2d8 and the damage from the grasping hand increases by 2d6 for each slot level above 5th.
Blade Barrier,evocation,not cantrip,6th,cleric,1 action,90 feet,Verbal&#44; Somatic,Concentration up to 10 minutes,You create a vertical wall of whirling&#44; razor-sharp blades made of magical energy. The wall appears within range and lasts for the duration. You can make a straight wall up to 100 feet long&#44; 20 feet high&#44; and 5 feet thick&#44; or a ringed wall up to 60 feet in diameter&#44; 20 feet high&#44; and 5 feet thick. The wall provides three-quarters cover to creatures behind it&#44; and its space is difficult terrain.,When a creature enters the wall’s area for the first time on a turn or starts its turn there&#44; the creature must make a Dexterity saving throw. On a failed save&#44; the creature takes 6d10 slashing damage. On a successful save&#44; the creature takes half as much damage.,,,,,,,,,,,,,
Blade Ward,abjuration,Cantrip,cantrip,bard sorceror warlock wizard,1 action,Self,Verbal&#44; Somatic,1 round,You extend your hand and trace a sigil of warding in the air. Until the end of your next turn&#44; you have resistance against bludgeoning&#44; piercing&#44; and slashing damage dealt by weapon attacks.,,,,,,,,,,,,,,
